Feature,Importance
Glucose,0.2391689288525968
BMI,0.15500705755591732
Insulin,0.13171261857296823
Age,0.12347152657649614
DiabetesPedigreeFunction,0.1079538093357237
SkinThickness,0.09185641492204623
Pregnancies,0.08015615157816786
BloodPressure,0.07067349260608373
